rank,business,category,rating,reviews,phone,phone_type,whatsapp_link,area,google_photos,google_maps,notes
11,EASY PLATES RESTAURANT LLC,Restaurant,4.7,124,+971568431101,mobile,https://wa.me/971568431101,Al Souq Al Kabeer,102,https://www.google.com/maps/search/?api=1&query_place_id=ChIJ0-LzFU1DXz4RjFCkliXxjxA,AED 50-100 spend - higher ticket than the Meena Bazaar average.
12,Truck Adda Restaurant & Cafe,Family restaurant,4.9,106,+971565058798,mobile,https://wa.me/971565058798,Riggat Al Buteen,311,https://www.google.com/maps/search/?api=1&query_place_id=ChIJzUPg13tdXz4RDH7QnxneJdc,4.9 stars and 311 photos. Themed concept - sells well visually.
13,Hakiki Baklava Cafe,Cafe,4.6,137,+971567806667,mobile,https://wa.me/971567806667,Al Hamriya,163,https://www.google.com/maps/search/?api=1&query_place_id=ChIJfUGNiQpDXz4REGpkWsjt9rY,On Al Seef St. Dessert business - very photogenic.
14,2 Group Cafe,Restaurant,4.5,132,+971581264522,mobile,https://wa.me/971581264522,Madinat Dubai Al Melaheyah,89,https://www.google.com/maps/search/?api=1&query_place_id=ChIJKSEAvANDXz4R-DJOSpE8kCs,
15,Tea exit cafe (ENOC Port Saeed),Cafe,4.3,108,+971525519449,mobile,https://wa.me/971525519449,Port Saeed - Deira,205,https://www.google.com/maps/search/?api=1&query_place_id=ChIJO8Vgv8BdXz4RFM0MmaRcEV0,
16,City Pavilion Cafe And Restaurant,Restaurant,4.6,65,+971528968165,mobile,https://wa.me/971528968165,Port Saeed - Deira,324,https://www.google.com/maps/search/?api=1&query_place_id=ChIJszRd9NhcXz4Rd050E9svcb8,324 photos - lots of material to build with.
17,Qavalli Restaurant LLC,Restaurant,4.8,65,+971585827052,mobile,https://wa.me/971585827052,Al Karama,228,https://www.google.com/maps/search/?api=1&query_place_id=ChIJLWM1ucBDXz4Rl_hTEEgDulU,AED 50-100 spend.
18,Capparis restaurant and cafe,Restaurant,4.8,54,+971558544772,mobile,https://wa.me/971558544772,Riggat Al Buteen,96,https://www.google.com/maps/search/?api=1&query_place_id=ChIJtdxFkoFdXz4RG4UQYpJmnRE,
19,Kiwi Cafe,Restaurant,4.1,62,+971564262206,mobile,https://wa.me/971564262206,Al Muraqqabat - Deira,74,https://www.google.com/maps/search/?api=1&query_place_id=ChIJv3scPildXz4RHoGO4C08qvs,
20,SITIFIS 213 RESTURANT & CAFE,Restaurant,4.8,40,+971509961084,mobile,https://wa.me/971509961084,Port Saeed - Deira,38,https://www.google.com/maps/search/?api=1&query_place_id=ChIJP8a_72BdXz4RFr3mDJXTZAw,
21,Dakshin Corner Restaurant & Cafe LLC,South Indian restaurant,4.7,22,+971585677055,mobile,https://wa.me/971585677055,Oud Metha,76,https://www.google.com/maps/search/?api=1&query_place_id=ChIJa6bLEwBDXz4RL8mF4T3MUaU,
22,TELY CAFE Branch 2 Al Rigga,Coffee shop,4.3,27,+971554596767,mobile,https://wa.me/971554596767,Al Muraqqabat - Al Rigga,30,https://www.google.com/maps/search/?api=1&query_place_id=ChIJobFdjAlDXz4Roa0VurWdLiM,
23,Shisha Cafe (Al Karama),Cafe,4.7,26,+971503003604,mobile,https://wa.me/971503003604,Al Karama,16,https://www.google.com/maps/search/?api=1&query_place_id=ChIJj-Pi6nBDXz4Rw6Vj3Q5VRiU,
24,Hanumant restaurant,Gujarati restaurant,4.6,25,+971585602636,mobile,https://wa.me/971585602636,Al Souq Al Kabeer - Al Fahidi,45,https://www.google.com/maps/search/?api=1&query_place_id=ChIJxdDSdgBDXz4RSONoBZzrpWk,Listing unclaimed.
25,Tea taste cafe,Cafeteria,4.1,25,+971569142187,mobile,https://wa.me/971569142187,Al Hamriya,23,https://www.google.com/maps/search/?api=1&query_place_id=ChIJRejJZzpDXz4R-IQwrlsuGic,
26,LIZ restaurant - Why pay more,Kerala restaurant,4.7,2823,+97143426955,landline,,Al Karama,865,https://www.google.com/maps/search/?api=1&query_place_id=ChIJp132b1VDXz4RBokMaHnL5F8,BIGGEST business on the list - 2823 reviews. Landline only: call or walk in.
27,Shri Krishna Bhavan Vegetarian Restaurant,Restaurant,4.3,2573,+97143995522,landline,,Al Karama,1400,https://www.google.com/maps/search/?api=1&query_place_id=ChIJQ29CfShDXz4RxbuWALjuXiw,1400 photos and no website. Landline only.
28,Al Rajwa Restaurant (Raghuvanshi),Restaurant,4.1,1659,+97143484747,landline,,Al Souq Al Kabeer,652,https://www.google.com/maps/search/?api=1&query_place_id=ChIJ3V8_rj9DXz4R-hI5peCADs4,Landline only.
29,Bombay Times Restaurant (Pure Veg),Indian restaurant,4.2,1127,+97143277433,landline,,Al Souq Al Kabeer - Al Fahidi,625,https://www.google.com/maps/search/?api=1&query_place_id=ChIJBQBwvD9DXz4R4842BHJduOM,Landline only.
30,Mount Everest Restaurant,Nepalese restaurant,4.2,1108,+97143550707,landline,,Al Souq Al Kabeer - Al Fahidi,846,https://www.google.com/maps/search/?api=1&query_place_id=ChIJeYPXwj9DXz4R96zAQB7cRzI,Landline only.
31,Kolhapuri Tadka Restaurant,Marathi restaurant,4.7,767,+97142389795,landline,,Al Raffa - Al Fahidi,941,https://www.google.com/maps/search/?api=1&query_place_id=ChIJYauupEdDXz4RAiTTuGl38_k,Already brands itself "Best Indian Restaurant in Dubai" in the listing name - wants marketing. Landline only.
32,Beans & Cream cafe,Cafe,4.3,647,+97143973197,landline,,Al Karama,587,https://www.google.com/maps/search/?api=1&query_place_id=ChIJqR7xuChDXz4ReMVB15OkaBI,Landline only.
33,Gangnam Korean Restaurant,Korean restaurant,4.3,616,+97143543110,landline,,Oud Metha,669,https://www.google.com/maps/search/?api=1&query_place_id=ChIJE2quGM5CXz4R1YDc7vHM0E0,AED 50-100 spend. Landline only.
34,CCD Chaat and Coffee Restaurant LLC,Indian restaurant,4.5,506,+97145526570,landline,,Al Karama,998,https://www.google.com/maps/search/?api=1&query_place_id=ChIJi3MuDShDXz4R0MXjqYDXDsk,Landline only.
35,Rajasthani/Uzbegim/Adaab/Everest/Delicia and 8 more,Various,4.0-4.8,150-450,see_notes,landline,,Bur Dubai & Deira,,,Remaining landline-only leads from the same scrape - full raw data in the Apify dataset.
